city_id,city_name,dates,wind_gust,wind_speed,wind_direction
116,Hamburg,2022-09-01,32.4,20.2,66.6
116,Hamburg,2022-09-02,34.6,20.7,94.3
116,Hamburg,2022-09-03,49.3,29.3,103.2
116,Hamburg,2022-09-04,41.4,23,94.5
116,Hamburg,2022-09-05,45,26.8,95.6
116,Hamburg,2022-09-06,38.9,23.1,97.6
116,Hamburg,2022-09-07,28.1,14,108.2
116,Hamburg,2022-09-08,30.2,17.7,90.1
116,Hamburg,2022-09-09,29.9,19.2,160.1
116,Hamburg,2022-09-10,15.1,16.8,66.5
116,Hamburg,2022-09-11,27.4,16.2,328.2
116,Hamburg,2022-09-12,23,15.3,159.7
116,Hamburg,2022-09-13,43.2,29.6,263.7
116,Hamburg,2022-09-14,32,16.9,268.3
116,Hamburg,2022-09-15,49.7,27.4,267.7
116,Hamburg,2022-09-16,63.4,29.8,247.9
116,Hamburg,2022-09-17,54.7,27.6,276.9
116,Hamburg,2022-09-18,58.7,36.9,275.9
116,Hamburg,2022-09-19,40.7,19,301.8
116,Hamburg,2022-09-20,27.4,14.2,306.7
116,Hamburg,2022-09-21,11.9,8.8,320.9
116,Hamburg,2022-09-22,23.4,12.8,168
116,Hamburg,2022-09-23,23.8,15.5,171.8
116,Hamburg,2022-09-24,18.7,11.7,138.1
116,Hamburg,2022-09-25,28.8,14.4,304.3
116,Hamburg,2022-09-26,45.7,28.4,197.9
116,Hamburg,2022-09-27,37.4,17.8,232.2
116,Hamburg,2022-09-28,23.8,12.2,226.7
116,Hamburg,2022-09-29,25.9,12.5,223.6
116,Hamburg,2022-09-30,35.6,22.9,204.8
116,Hamburg,2022-10-01,53.3,25.6,199.2
116,Hamburg,2022-10-02,50,25.6,270.4
116,Hamburg,2022-10-03,46.1,26.9,282.1
116,Hamburg,2022-10-04,33.5,23.7,214.2
116,Hamburg,2022-10-05,50.4,28.5,211.4
116,Hamburg,2022-10-06,53.6,28.7,246.8
116,Hamburg,2022-10-07,42.5,29.2,207.4
116,Hamburg,2022-10-08,52.2,25.3,245.5
116,Hamburg,2022-10-09,25.2,16.1,182.3
116,Hamburg,2022-10-10,38.9,24,186.3
116,Hamburg,2022-10-11,31.7,17,252
116,Hamburg,2022-10-12,23,18.9,158.4
116,Hamburg,2022-10-13,27,17.9,186.1
116,Hamburg,2022-10-14,25.6,14.3,191.1
116,Hamburg,2022-10-15,32.8,19,200.6
116,Hamburg,2022-10-16,44.6,31.3,222.8
116,Hamburg,2022-10-17,36,16.3,174.7
116,Hamburg,2022-10-18,37.8,22.1,270.8
116,Hamburg,2022-10-19,24.5,13.5,20.3
116,Hamburg,2022-10-20,46.4,27.4,118.2
116,Hamburg,2022-10-21,25.6,18.2,157.5
116,Hamburg,2022-10-22,32,23,216.5
116,Hamburg,2022-10-23,26.3,21.8,144.3
116,Hamburg,2022-10-24,54,33.7,193
116,Hamburg,2022-10-25,42.1,27.3,232.4
116,Hamburg,2022-10-26,24.5,15,163.8
116,Hamburg,2022-10-27,28.1,17.7,173.3
116,Hamburg,2022-10-28,28.4,19.3,194.9
116,Hamburg,2022-10-29,30.2,15.5,239.1
116,Hamburg,2022-10-30,17.6,10.6,184.7
116,Hamburg,2022-10-31,28.1,17.5,114.9
116,Hamburg,2022-11-01,48.6,26.7,186.7
116,Hamburg,2022-11-02,69.8,29.5,215.9
116,Hamburg,2022-11-03,34.9,25.8,146.6
116,Hamburg,2022-11-04,43.9,26.3,208.6
116,Hamburg,2022-11-05,39.2,23.3,220.4
116,Hamburg,2022-11-06,38.5,27.9,185.6
116,Hamburg,2022-11-07,53.6,30.3,210.9
116,Hamburg,2022-11-08,40,23.7,187.8
116,Hamburg,2022-11-09,54.7,32.2,211.2
116,Hamburg,2022-11-10,46.1,23.7,227.4
116,Hamburg,2022-11-11,36.4,25.3,229.6
116,Hamburg,2022-11-12,16.6,12.4,176.7
116,Hamburg,2022-11-13,34.9,21.8,109.8
116,Hamburg,2022-11-14,43.6,23.3,118.5
116,Hamburg,2022-11-15,29.5,19.6,114.2
116,Hamburg,2022-11-16,52.6,26.5,104.3
116,Hamburg,2022-11-17,79.9,37.9,105.7
116,Hamburg,2022-11-18,44.6,26.2,89.7
116,Hamburg,2022-11-19,21.2,14.5,315.5
116,Hamburg,2022-11-20,25.6,15.4,286.4
116,Hamburg,2022-11-21,31,20.3,173.9
116,Hamburg,2022-11-22,44.6,23.2,124.6
116,Hamburg,2022-11-23,25.9,18.7,136.7
116,Hamburg,2022-11-24,20.9,15.7,166.2
116,Hamburg,2022-11-25,21.2,15.9,157.2
116,Hamburg,2022-11-26,23.4,13.4,211.5
116,Hamburg,2022-11-27,28.1,17.9,142.6
116,Hamburg,2022-11-28,37.8,24.8,126.7
116,Hamburg,2022-11-29,26.6,13.7,103.9
116,Hamburg,2022-11-30,22,12.3,77.2
116,Hamburg,2022-12-01,19.4,17.2,70.9
116,Hamburg,2022-12-02,30.2,18.3,58.4
116,Hamburg,2022-12-03,30.2,21.3,81
116,Hamburg,2022-12-04,32.8,21.5,67.4
116,Hamburg,2022-12-05,26.6,16.8,67
116,Hamburg,2022-12-06,20.9,15.6,303.3
116,Hamburg,2022-12-07,40.7,19.4,267.6
116,Hamburg,2022-12-08,29.2,15.9,241.7
