city_name,avrage of speed in a year,Sum of speeds in a year
Berlin,20.06939887,7345.399986
Bremen,24.24918038,8875.200017
Dresden,22.80273224,8345.800002
dusseldorf,23.87513663,8738.300005
Erfurt,24.77459019,9067.500009
Hamburg,22.98579233,8412.799993
Hannover,21.78114754,7971.9
Kiel,23.66530049,8661.49998
Magdeburg,15.41284157,5641.100015
Mainz,18.97677595,6945.499999
Munich,17.15655739,6279.300005
Potsdam,21.56420765,7892.5
Saarbrucken,21.96775953,8040.199987
Schwerin,20.24808747,7410.800013
Stuttgart,17.59699459,6440.500018
Wiesbaden,20.14262296,7372.200003
