city_name,avrage of speed in a year,Sum of speeds in a year
Magdeburg,15.41284157,5641.100015
Munich,17.15655739,6279.300005
Stuttgart,17.59699459,6440.500018
Mainz,18.97677595,6945.499999
Berlin,20.06939887,7345.399986
Wiesbaden,20.14262296,7372.200003
Schwerin,20.24808747,7410.800013
Potsdam,21.56420765,7892.5
Hannover,21.78114754,7971.9
Saarbrucken,21.96775953,8040.199987
Dresden,22.80273224,8345.800002
Hamburg,22.98579233,8412.799993
Kiel,23.66530049,8661.49998
dusseldorf,23.87513663,8738.300005
Bremen,24.24918038,8875.200017
Erfurt,24.77459019,9067.500009
